::ffff:192.168.2.1 - - [01/May/2025:12:23:28 +0000] "POST /api/actualizar-imagen-perfil HTTP/1.1" 200 54
::ffff:192.168.2.1 - - [01/May/2025:12:23:28 +0000] "GET /api/informacion-usuario HTTP/1.1" 200 359
::ffff:192.168.2.1 - - [01/May/2025:12:23:38 +0000] "PUT /api/actualizar-datos-usuario HTTP/1.1" 200 46
::ffff:192.168.2.1 - - [01/May/2025:12:23:38 +0000] "GET /api/informacion-usuario HTTP/1.1" 200 362
::ffff:192.168.2.1 - - [01/May/2025:12:23:40 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:40 +0000] "GET /api/dashboard-usuario HTTP/1.1" 200 210
::ffff:192.168.2.1 - - [01/May/2025:12:23:40 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:40 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:48 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:48 +0000] "GET /api/informacion-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:48 +0000] "GET /api/logros-usuario?idUsuario=1 HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:23:58 +0000] "POST /api/login HTTP/1.1" 200 262
::ffff:192.168.2.1 - - [01/May/2025:12:23:59 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 808
::ffff:192.168.2.1 - - [01/May/2025:12:23:59 +0000] "GET /api/dashboard-usuario HTTP/1.1" 200 194
::ffff:192.168.2.1 - - [01/May/2025:12:23:59 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 404 43
::ffff:192.168.2.1 - - [01/May/2025:12:23:59 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 200 712
::ffff:192.168.2.1 - - [01/May/2025:12:24:01 +0000] "GET /api/usuarios-registrados HTTP/1.1" 200 667
::ffff:192.168.2.1 - - [01/May/2025:12:24:01 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:03 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:03 +0000] "GET /api/solicitudes-maquinas HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:03 +0000] "GET /api/maquinas-registradas HTTP/1.1" 200 2366
::ffff:192.168.2.1 - - [01/May/2025:12:24:06 +0000] "GET /api/notificaciones HTTP/1.1" 200 1386
::ffff:192.168.2.1 - - [01/May/2025:12:24:06 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:09 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:09 +0000] "GET /api/dashboard-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:09 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 404 43
::ffff:192.168.2.1 - - [01/May/2025:12:24:09 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:10 +0000] "PUT /api/marcar-notificaciones HTTP/1.1" 200 49
::ffff:192.168.2.1 - - [01/May/2025:12:24:12 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 68
::ffff:192.168.2.1 - - [01/May/2025:12:24:12 +0000] "GET /api/informacion-usuario HTTP/1.1" 200 315
::ffff:192.168.2.1 - - [01/May/2025:12:24:12 +0000] "GET /api/logros-usuario?idUsuario=3 HTTP/1.1" 200 264
::ffff:192.168.2.1 - - [01/May/2025:12:24:13 +0000] "PUT /api/marcar-notificaciones HTTP/1.1" 400 47
::ffff:192.168.2.1 - - [01/May/2025:12:24:16 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:16 +0000] "GET /api/dashboard-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:16 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:24:16 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 404 43
::ffff:192.168.2.1 - - [01/May/2025:12:24:23 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 808
::ffff:192.168.2.1 - - [01/May/2025:12:24:23 +0000] "GET /api/dashboard-usuario HTTP/1.1" 200 194
::ffff:192.168.2.1 - - [01/May/2025:12:24:23 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 404 43
::ffff:192.168.2.1 - - [01/May/2025:12:24:23 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 200 712
